movie,chapter,scene_counting,emotion,prediction
Harry Potter and the Chamber of Secrets,Polyjuice Potion,55,neutral,1
Harry Potter and the Chamber of Secrets,Polyjuice Potion,55,sadness,1
Harry Potter and the Chamber of Secrets,Polyjuice Potion,55,happiness,1
Harry Potter and the Chamber of Secrets,Polyjuice Potion,55,surprise,1
Harry Potter and the Chamber of Secrets,Harry and Ron transformed.,56,happiness,1
Harry Potter and the Chamber of Secrets,Harry and Ron transformed.,56,neutral,2
Harry Potter and the Chamber of Secrets,Harry and Ron transformed.,56,relief,1
Harry Potter and the Chamber of Secrets,Harry and Ron transformed.,56,sadness,1
Harry Potter and the Chamber of Secrets,Harry and Ron transformed.,56,worry,3
Harry Potter and the Chamber of Secrets,Well? Do you?,57,surprise,2
Harry Potter and the Chamber of Secrets,Well? Do you?,57,worry,1
Harry Potter and the Chamber of Secrets,Well? Do you?,57,neutral,2
Harry Potter and the Chamber of Secrets,Well? Do you?,57,fun,1
Harry Potter and the Chamber of Secrets,The diary,58,neutral,5
Harry Potter and the Chamber of Secrets,The diary,58,sadness,1
Harry Potter and the Chamber of Secrets,The diary,58,surprise,2
Harry Potter and the Chamber of Secrets,The diary,58,worry,5
Harry Potter and the Chamber of Secrets,Tom Riddle,59,neutral,1
Harry Potter and the Chamber of Secrets,"Hello, can you hear me?",60,hate,1
Harry Potter and the Chamber of Secrets,"Hello, can you hear me?",60,neutral,6
Harry Potter and the Chamber of Secrets,"Hello, can you hear me?",60,relief,1
Harry Potter and the Chamber of Secrets,"Hello, can you hear me?",60,sadness,1
Harry Potter and the Chamber of Secrets,"Hello, can you hear me?",60,worry,4
Harry Potter and the Chamber of Secrets,"Hello, can you hear me?",60,surprise,3
Harry Potter and the Chamber of Secrets,Petrified,61,worry,3
Harry Potter and the Chamber of Secrets,Petrified,61,surprise,1
Harry Potter and the Chamber of Secrets,Petrified,61,neutral,6
Harry Potter and the Chamber of Secrets,Petrified,61,fun,1
Harry Potter and the Chamber of Secrets,Petrified,61,empty,1
Harry Potter and the Chamber of Secrets,"chance. We're stronger, quicker and smarter.",62,sadness,1
Harry Potter and the Chamber of Secrets,"chance. We're stronger, quicker and smarter.",62,worry,4
Harry Potter and the Chamber of Secrets,"chance. We're stronger, quicker and smarter.",62,relief,1
Harry Potter and the Chamber of Secrets,"chance. We're stronger, quicker and smarter.",62,neutral,3
Harry Potter and the Chamber of Secrets,Cornelius Fudge,63,fun,2
Harry Potter and the Chamber of Secrets,Cornelius Fudge,63,worry,8
Harry Potter and the Chamber of Secrets,Cornelius Fudge,63,surprise,2
Harry Potter and the Chamber of Secrets,Cornelius Fudge,63,sadness,3
